Type,SKU,Name,Published,Visibility in catalogue,Short description,Description,In stock?,Regular price,Categories,Images
simple,120-gal-48x24x24-aio-tank-black-wood-stand,120 GAL 48X24X24 AIO TANK-BLACK WOOD STAND,1,visible,<p>Check Warranty Details</p>,"<ul>
<li>All in one aquarium</li>
<li>32″ black glossy stand</li>
<li>5″ across back filter compartment</li>
<li>2 x 3/4″ returns</li>
<li>No Media</li>
<li>No Light</li>
</ul>",1,1499.99,All-in-one,https://silver-stingray-778625.hostingersite.com/wp-content/uploads/90-GAL-36X24X24-AIO-TANK-BLACK-WOOD-STAND2-s-awatermark-final-for-120-as-well.png
simple,90-gal-36x24x24-aio-tank-black-wood-stand,90 GAL 36X24X24 AIO TANK-BLACK WOOD STAND,1,visible,<p>Check Warranty Details</p>,"<ul>
<li>All in one aquarium</li>
<li>32″ black glossy stand</li>
<li>5″ across back filter compartment</li>
<li>2 x 3/4″ returns</li>
<li>No Media</li>
<li>No Light</li>
</ul>",1,1199.99,All-in-one,https://silver-stingray-778625.hostingersite.com/wp-content/uploads/90-GAL-36X24X24-AIO-TANK-BLACK-WOOD-STAND2-s-awatermark-final-for-120-as-well.png
simple,300-gal-96x30x24-aqua-japan-starphire-glass-tank-black-stand-aluminum-frame,"300 GAL 96X30X24 AQUA JAPAN STARPHIRE GLASS TANK- BLACK STAND, ALUMINUM FRAME",1,visible,"<ul>
<li>NEED TO SHIP BY FREIGHT, NO FREE SHIPPING</li>
<li>Check Warranty Details</li>
</ul>","<ul>
<li>Tank is 3 sides ultra low iron, front and both sides</li>
<li>Approximately 96x30x24″</li>
<li>Tank Size</li>
<li>96x30x24 inch</li>
<li>2438x762x610 mm</li>
<li>Glass Thickness</li>
<li>15mm, 5/8inch</li>
<li>Capacity</li>
<li>290 Gallon</li>
<li>Overflow Box</li>
<li>2×1″ Return, 2×1.5″ Drain</li>
<li>Sump Size</li>
<li>82.7×21.6×15.7 inch</li>
<li>2100x550x400 mm</li>
</ul>",1,7499.99,Aqua Japan,https://silver-stingray-778625.hostingersite.com/wp-content/uploads/200-GAL-84x24x24-STARPHIRE-GLASS-TANK-BLACK-STAND-s_watermark.png
simple,375-gal-120x30x24-aqua-japan-starphire-glass-tank-black-stand-aluminum-frame,"375 GAL 120X30X24 AQUA JAPAN STARPHIRE GLASS TANK- BLACK STAND, ALUMINUM FRAME",1,visible,"<ul>
<li>NEED TO SHIP BY FREIGHT, NO FREE SHIPPING</li>
<li>Check Warranty Details</li>
</ul>","<ul>
<li>Tank is 3 sides ultra low iron, front and both sides</li>
<li>Approximately 120x30x24″</li>
<li>Euro Bracing / Bottom Brace</li>
<li>Tank Size</li>
<li>120x30x24 inch</li>
<li>3048x762x610 mm</li>
<li>Glass Thickness</li>
<li>19mm, 3/4inch</li>
<li>Capacity</li>
<li>350 Gallon</li>
<li>Overflow Box</li>
<li>2×1″ Return, 2×2″ Drain</li>
<li>Sump Size</li>
<li>106.3×21.6×15.7 inch</li>
</ul>",1,8999.99,Aqua Japan,https://silver-stingray-778625.hostingersite.com/wp-content/uploads/200-GAL-84x24x24-STARPHIRE-GLASS-TANK-BLACK-STAND-s_watermark.png
simple,375-gal-96x30x30-aqua-japan-starphire-glass-tank-white-stand-aluminum-frame,"375 GAL 96X30X30 AQUA JAPAN STARPHIRE GLASS TANK- WHITE STAND, ALUMINUM FRAME",1,visible,"<ul>
<li>NEED TO SHIP BY FREIGHT, NO FREE SHIPPING</li>
<li>Check Warranty Details</li>
</ul>","<ul>
<li>Tank is 3 sides ultra low iron, front and both sides</li>
<li>Comes with 32″ metal frame tall stand</li>
<li>Approximately 96x30x30″</li>
<li>Stand is 80cm ( 36.0″ )</li>
<li>Tank Size</li>
<li>96x30x30 inch</li>
<li>2438x762x762 mm</li>
<li>Glass Thickness</li>
<li>15mm,5/8inch</li>
<li>Capacity</li>
<li>360 Gallon</li>
<li>Overflow Box</li>
<li>2×1″ Return, 2×1.5″ Drain</li>
<li>Sump Size</li>
</ul>",1,8999.99,Aqua Japan,https://silver-stingray-778625.hostingersite.com/wp-content/uploads/200-GAL-84x24x24-STARPHIRE-GLASS-TANK-BLACK-STAND-s_watermark.png
simple,aqua-japan-aj-28p-low-iron-glass-tank-black-stand,AQUA JAPAN AJ-28P LOW IRON GLASS TANK- BLACK STAND,1,visible,"<ul>
<li>NEED TO SHIP BY FREIGHT, NO FREE SHIPPING</li>
<li>Check Warranty Details</li>
</ul>","<ul>
<li>28 Gallon Display Tank</li>
<li>Tank is 5 sides ultra low iron, front and both sides (very similar to starphire glass)</li>
<li>Tank size (23.62″ x 15.75″ x 17.72″)</li>
<li>Stand is 31.5”</li>
<li>Glass 8mm thick</li>
<li>NEED TO SHIP BY FREIGHT, NO FREE SHIPPING</li>
</ul>",1,599.99,Aqua Japan,https://silver-stingray-778625.hostingersite.com/wp-content/uploads/AQUA-JAPAN-AJ-28P-LOW-IRON-GLASS-TANK-BLACK-STAND-s-watermark.png
simple,aqua-japan-aj-28p-low-iron-glass-tank-white-stand,AQUA JAPAN AJ-28P LOW IRON GLASS TANK- WHITE STAND,1,visible,"<ul>
<li>NEED TO SHIP BY FREIGHT, NO FREE SHIPPING</li>
<li>Check Warranty Details</li>
</ul>","<ul>
<li>28 Gallon Display Tank</li>
<li>Tank is 5 sides ultra low iron (very similar to starphire glass)</li>
<li>Tank size (23.62″ x 15.75″ x 17.72″)</li>
<li>Stand is 31.5”</li>
<li>Glass 8mm thick</li>
<li>NEED TO SHIP BY FREIGHT, NO FREE SHIPPING</li>
</ul>",1,599.99,Aqua Japan,https://silver-stingray-778625.hostingersite.com/wp-content/uploads/AQUA-JAPAN-AJ-28P-LOW-IRON-GLASS-TANK-BLACK-STAND-s-watermark.png
simple,aqua-japan-aj-44p-low-iron-glass-tank-black-stand,AQUA JAPAN AJ-44P LOW IRON GLASS TANK- BLACK STAND,1,visible,"<ul>
<li>NEED TO SHIP BY FREIGHT, NO FREE SHIPPING</li>
<li>Check Warranty Details</li>
</ul>","<ul>
<li>44 Gallon Display Tank</li>
<li>Tank is 5 sides ultra low iron (very similar to starphire glass)</li>
<li>Tank size (31.50″ x 16.54″ x 19.69″)</li>
<li>Stand is 31.5”</li>
<li>Glass 8mm thick</li>
<li>NEED TO SHIP BY FREIGHT, NO FREE SHIPPING</li>
</ul>",1,799.99,Aqua Japan,https://silver-stingray-778625.hostingersite.com/wp-content/uploads/AQUA-JAPAN-AJ-28P-LOW-IRON-GLASS-TANK-BLACK-STAND-s-watermark.png
simple,aqua-japan-aj-44p-low-iron-glass-tank-white-stand,AQUA JAPAN AJ-44P LOW IRON GLASS TANK- WHITE STAND,1,visible,"<ul>
<li>NEED TO SHIP BY FREIGHT, NO FREE SHIPPING</li>
<li>Check Warranty Details</li>
</ul>","<ul>
<li>44 Gallon Display Tank</li>
<li>Tank is 5 sides ultra low iron, front and both sides (very similar to starphire glass)</li>
<li>Tank size (31.50″ x 16.54″ x 19.69″)</li>
<li>Stand is 31.5”</li>
<li>Glass 8mm thick</li>
<li>NEED TO SHIP BY FREIGHT, NO FREE SHIPPING</li>
</ul>",1,799.99,Aqua Japan,https://silver-stingray-778625.hostingersite.com/wp-content/uploads/AQUA-JAPAN-AJ-28P-LOW-IRON-GLASS-TANK-BLACK-STAND-s-watermark.png
simple,aqua-japan-aj-65p-low-iron-glass-tank-black-stand,AQUA JAPAN AJ-65P LOW IRON GLASS TANK- BLACK STAND,1,visible,"<ul>
<li>NEED TO SHIP BY FREIGHT, NO FREE SHIPPING</li>
<li>Check Warranty Details</li>
</ul>","<ul>
<li>65 Gallon Display Tank</li>
<li>Tank is 5 sides ultra low iron (very similar to starphire glass)</li>
<li>Tank size (39.37″ x 17.72″ x 21.65″)</li>
<li>Stand is 31.5″</li>
<li>Glass 12mm thick</li>
<li>NEED TO SHIP BY FREIGHT, NO FREE SHIPPING</li>
</ul>",1,999.99,Aqua Japan,https://silver-stingray-778625.hostingersite.com/wp-content/uploads/AQUA-JAPAN-AJ-28P-LOW-IRON-GLASS-TANK-BLACK-STAND-s-watermark.png
simple,aqua-japan-aj-65p-low-iron-glass-white-stand,AQUA JAPAN AJ-65P LOW IRON GLASS – WHITE STAND,1,visible,"<ul>
<li>NEED TO SHIP BY FREIGHT, NO FREE SHIPPING</li>
<li>Check Warranty Details</li>
</ul>","<ul>
<li>AQUA JAPAN AJ-65P LOW IRON GLASS TANK- WHITE STAND</li>
<li>65 Gallon Display Tank</li>
<li>Tank is 5 sides ultra low iron (very similar to starphire glass)</li>
<li>Tank size (39.37″ x 17.72″ x 21.65″)</li>
<li>Stand is 31.5″</li>
<li>Glass 12mm thick</li>
<li>NEED TO SHIP BY FREIGHT, NO FREE SHIPPING</li>
</ul>",1,999.99,Aqua Japan,https://silver-stingray-778625.hostingersite.com/wp-content/uploads/AQUA-JAPAN-AJ-28P-LOW-IRON-GLASS-TANK-BLACK-STAND-s-watermark.png
simple,aqua-japan-aj-85p-low-iron-glass-black-stand,AQUA JAPAN AJ-85P LOW IRON GLASS – BLACK STAND,1,visible,"<ul>
<li>NEED TO SHIP BY FREIGHT, NO FREE SHIPPING</li>
<li>Check Warranty Details</li>
</ul>","<ul>
<li>AQUA JAPAN AJ-85P LOW IRON GLASS TANK– BLACK STAND</li>
<li>85 Gallon Display Tank</li>
<li>Tank is 5 sides ultra low iron (very similar to starphire glass)</li>
<li>Tank size ( 47.24″ x 17.72″ x 23.62″ )</li>
<li>Stand is 31.50″</li>
<li>Glass 12mm thick</li>
<li>NEED TO SHIP BY FREIGHT, NO FREE SHIPPING</li>
</ul>",1,1299.99,Aqua Japan,https://silver-stingray-778625.hostingersite.com/wp-content/uploads/AQUA-JAPAN-AJ-28P-LOW-IRON-GLASS-TANK-BLACK-STAND-s-watermark.png
